id,name,description,price,category,inStock,featured,createdAt,updatedAt
cme2xdnmp0008wa0kpo2f4a8r,Sublimation Flag (Double),High-quality double-sided sublimation flag with vibrant colors and durable material,2000,Sublimation Flags,1,1,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnoj0009wa0k7luourol,Sublimation Flag (Single),Single-sided sublimation flag perfect for indoor and outdoor use,1500,Sublimation Flags,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnqe000awa0k107qg9bo,Sublimation Pillow,Comfortable pillow with custom sublimation design,1500,Home & Living,1,1,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdns7000bwa0ky0cdbjpi,Sublimation Cushion,Soft cushion with personalized sublimation print,1200,Home & Living,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnu4000cwa0kma4kxbcx,Steel Keychain,Durable steel keychain with custom sublimation design,500,Keychains,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnw2000dwa0k9pouwuqr,Double Side Keychain,Double-sided keychain with sublimation on both sides,400,Keychains,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnxt000ewa0k5sc8nmb2,Single Side Keychain,Single-sided keychain with custom sublimation design,300,Keychains,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdnzr000fwa0ksw4egnb4,School Bag Sublimation (Large),Large school bag with custom sublimation design,2500,School Bags,1,1,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdo1g000gwa0k4lvr9pev,School Bag Sublimation (Medium),Medium-sized school bag with personalized sublimation,2200,School Bags,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdo39000hwa0k0zo7aai2,Mug Sublimation (White),White ceramic mug with custom sublimation design,800,Mugs,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdo4x000iwa0kih48svgl,Mug Sublimation (Color),Colored ceramic mug with custom sublimation design,900,Mugs,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdo6i000jwa0kpmm7po87,Mug Magic Color,Magic color changing mug with sublimation design,1050,Mugs,1,1,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdo8g000kwa0khzbq3ghi,Safety Jacket (Imported Quality),High-quality imported safety jacket with custom design,1500,Safety Jackets,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdoa9000lwa0kkevj3r6q,Safety Jacket (Good Quality),Good quality safety jacket with custom sublimation,1000,Safety Jackets,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdoc5000mwa0kurx29ekq,Shirts Sublimation (Any Size),Custom sublimation shirts available in all sizes. Price varies based on design complexity (RS: 1200-2500),1200,Clothing,1,1,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdoe0000nwa0kf0ydnp7a,iPhone Custom Cover,Customized phone cover for iPhone with personalized sublimation design. Available for all iPhone models,1500,Customized Phone Covers,1,1,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdogl000owa0ki91b0byx,Samsung Custom Cover,Personalized phone cover for Samsung devices with custom sublimation print. Compatible with all Samsung models,1500,Customized Phone Covers,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdoim000pwa0khn2md6mc,Oppo/Vivo Custom Cover,Custom phone cover for Oppo and Vivo devices with sublimation design. Perfect fit for all models,1500,Customized Phone Covers,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdok5000qwa0k1iggp9yx,Huawei Custom Cover,Personalized phone cover for Huawei devices with custom sublimation artwork,1500,Customized Phone Covers,1,0,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
cme2xdols000rwa0kuymwy15r,Transparent Custom Cover,Transparent phone cover with custom sublimation design. Available for all phone brands,1500,Customized Phone Covers,1,1,2025-08-08 18:11:25.154,2025-08-08 18:11:25.154
